Name,m/z,RT [min],HMDB,KEGG,Super_Class,Class,Sub_Class,log2FC_Processing_1,log2FC_Processing_2,log2FC_Processing_3,log2FC_Processing_4,YS0_F-1,YS0_F-2,YS0_F-3,YS25_F-1,YS25_F-2,YS25_F-3,YS50_F-1,YS50_F-2,YS50_F-3,YS75_F-1,YS75_F-2,YS75_F-3,YS100_F-1,YS100_F-2,YS100_F-3
4-hydroxy-crotonic acid,101.02434,0.281,HMDB0003381,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,1338564.8924630773,1384453.2233633185,1180767.458173604,1176339.318793066,1189429.8455780086,1479931.2166289254,1301007.4915855303,1105490.8494923564,1227428.7849221136,1120266.9906239656,1124348.5166580954,1381770.1167179395,1323296.831142053,1142720.5623944462,1199934.4054635006
2-Methyl-3-oxopropanoic acid,101.02437,0.624,HMDB0001172,C00349,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,,,,,4785145.988770889,4511835.6765683675,4677565.984660742,2320252.531150231,2132188.883358398,2147746.92249137,1107758.5298725169,1145144.2377659502,1310026.1903615335,1343001.6222801267,1319076.8159663638,1489527.99175351,1021499.3154560843,1120474.6237966612,930275.7447472546
3-HYDROXYBUTANOIC ACID,103.04003,0.72,HMDB0000011,C01089,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,,,,,214778.01271584455,200513.1594078999,214430.29737625553,172625.9868848778,183303.56098182086,214615.0910333013,199052.68104545295,172298.84766091162,172384.03079363552,192505.7912327085,147329.3143766804,167918.91709061118,117599.68890528464,114311.40766157828,111109.18213313706
4-Hydroxybutanoic acid,103.04003,5.118,HMDB0000710,C00989,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,107994.07117118257,109806.24016847437,106311.29736034307,108854.32149963429,97574.72866103139,107627.65323933434,96671.70646816805,96626.5097342485,104588.70154758346,92699.19868101669,94853.38218250115,95808.77137648215,94375.7842347045,101274.0576071479,90780.15627814762
Ethylphosphonic acid,109.00425,9.73,HMDB0252085,,Organic acids and derivatives,Organic phosphonic acids and derivatives,Organic phosphonic acids,,,,,9024006.252952872,9489887.381828316,10198430.465218809,8983658.417904245,9551163.375782713,10407761.759313036,9418975.038086575,8820249.829245243,9802751.269668182,9423499.365403568,9028811.063839948,9897144.344756482,9853116.28070943,9585659.384838866,9542066.056451699
2-ethenylthiophene,109.00425,9.304,,,Organoheterocyclic compounds,Heteroaromatic compounds,,,,,,2711407.9847186166,2789202.809506903,3229408.3187744794,3157857.5377577175,3331642.7369644432,3917924.8462778386,3011004.7423529825,2744931.923548801,2759510.7920982176,3474308.2248137724,3788780.930410079,3448775.248776149,3839388.922823797,3504595.3868238553,3533303.490352347
Catechol,109.00565,8.971,HMDB0000957,C00090,Benzenoids,Phenols,Benzenediols,,,,,3534955.9088984164,3126111.931194989,3038658.588906596,2994908.6231228225,2892338.8245414016,3323853.1413357765,2516103.6572897593,2756426.8765422697,3124124.526167971,3158063.7789494917,3011606.252448103,2890995.065602405,2607358.1983406777,2645882.309448863,2677679.144210459
Methyl sulfate,110.97574,0.796,HMDB0254614,C02704,Organic acids and derivatives,Organic sulfuric acids and derivatives,Sulfuric acid esters,,,,,1518831.072400444,1467667.1204284364,1614568.82517112,2092763.8250256062,1882144.1295805722,2075936.9213938215,1874998.9543310716,2155615.885559548,2559678.5431093806,2547618.798639308,2054886.8669783757,2210896.691382316,1674324.1670625666,1699641.6212179381,1760267.0497194948
Uracil,111.01991,0.342,HMDB0000300,C00106,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,,,,,593107.1064728062,529593.9100179062,527456.9332092872,547786.4480671682,509776.7983050196,464304.0209278121,530805.5158154434,606864.8179924487,487366.55069210776,594859.0336583627,562925.7897551572,498702.39248648,576678.4429842036,569268.5860672316,558963.6842485644
Pleurone,112.98569,0.939,,,Organic acids and derivatives,Organic carbonic acids and derivatives,Carbonic acid diesters,,,,,2225567.658953479,2304818.4745671055,2913749.1294794152,3289290.0595348976,3491119.47435341,2945853.4641116927,3154342.4191028425,2744035.3789211675,3013702.1859759907,2539305.3105041143,2721358.3479326866,2664424.6505631995,3395225.3670137026,3097013.559374357,3094304.9786119405
cis-Acetylacrylic acid,113.02427,0.299,HMDB0060461,C07091,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,,,,,594494.0765370814,585653.8900609489,637560.09170197,557177.8573742097,721036.9833215461,579545.2426042443,551474.2128376111,561706.2763913268,574032.3933710622,642672.9910284118,651958.6444816029,634191.6578899851,724860.362616761,668758.7983337007,600410.6021495383
