"Name","m/z","RT [min]","HMDB","KEGG","Super_Class","Class","Sub_Class","log2FC_Processing_1","log2FC_Processing_2","log2FC_Processing_3","log2FC_Processing_4","PC1","PC2","Strength_PC1_PC2","Rank_Strength"
"8,8a-Deoxyoleandolide",373.25674,6.772,"","C11989","Phenylpropanoids and polyketides","Macrolides and analogues","",NA,NA,NA,NA,0.00913646929580738,0.0481840972229339,0.0490426579253447,1
"(2s)-12-[(2r,5s,6s)-5-hydroxy-6-methylpiperidin-2-yl]dodecane-1,2-diol",316.29581,6.4,"","","Alkaloids and derivatives","","",NA,NA,NA,NA,0.00628469493252753,0.0485944314635737,0.0489991444788876,2
"9-Hydroxy-10-ketooctadecanoic acid",313.23856,6.681,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.0104180295283294,0.0477294892813233,0.0488532443785374,3
"tetracosyl (2e)-3-(4-hydroxyphenyl)prop-2-enoate",499.41498,8.949,"","","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives",NA,NA,NA,NA,-0.00446317695658752,-0.0486040545900306,0.0488085450626884,4
"Moschamine",351.13361,5.001,"HMDB0032759","","Organoheterocyclic compounds","Indoles and derivatives","Tryptamines and derivatives",NA,NA,NA,NA,-0.00950896317528223,0.0478357851792576,0.0487717410431999,5
"XANTHINE",151.02605,0.953,"HMDB0000292","C00385","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives",NA,NA,NA,NA,0.00292651406425638,0.0486461882689391,0.0487341370875217,6
"Biverlactone B",337.20425,7.098,"","","Organoheterocyclic compounds","Lactones","Delta valerolactones",NA,NA,NA,NA,-0.00101995233153398,-0.0487233513834627,0.0487340258217498,7
"Norpechuelone",193.12181,6.287,"","","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,-0.0113575431030552,0.0472945011318369,0.0486391161787206,8
"Sch 725674",329.22922,6.769,"","","Phenylpropanoids and polyketides","Macrolides and analogues","",NA,NA,NA,NA,0.00273016949769232,0.0485394269802409,0.04861614749295,9
"1-Acetylaspidoalbidine",337.18759,8.047,"","C09019","Organoheterocyclic compounds","Indoles and derivatives","Carbazoles",NA,NA,NA,NA,-0.00849358147885453,-0.0478141711636616,0.0485627006086551,10
"Lanopylin B2",346.34247,6.822,"","","Organoheterocyclic compounds","Pyrrolines","",NA,NA,NA,NA,0.0141644867565791,0.0464488908088905,0.0485606027809945,11
"Myrothecisin C",429.22778,8.68,"","","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,-0.00717791332666738,0.0480079235004867,0.0485415611466476,12
"(1s,2s,5r,6s,8s,11s,14r,17s,20r)-6,14-dimethyl-10,16,18-trioxahexacyclo[12.5.1.1,.0,.0,.0,]henicosan-9-one",333.21457,5.034,"","","Unknown","","",NA,NA,NA,NA,0.00586648500676417,0.0481575378302728,0.0485135454920452,13
"13alpha-Angeloyloxylupanine",307.20624,4.461,"","","Unknown","","",NA,NA,NA,NA,-0.0134923585008836,-0.0465889722810309,0.0485033614929835,14
"(2-isopropyl-5-methylphenyl)acetic acid",193.12158,6.957,"","","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids",NA,NA,NA,NA,0.00229365566664427,0.0483943474559701,0.0484486710035094,15
"5,5,9,14-tetramethyl-15-oxapentacyclo[11.3.1.0,.0,.0,]heptadecan-2-yl acetate",347.25381,5.66,"","","Unknown","","",NA,NA,NA,NA,-0.00552074737865332,0.0481262780120164,0.0484418959879648,16
"Fructose",179.0607,0.685,"HMDB0000660","C02336","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",NA,NA,NA,NA,0.0143762369969282,0.0462509132591465,0.048433698676613,17
"Berkeleylactone J",283.19107,5.723,"","","Phenylpropanoids and polyketides","Macrolides and analogues","",NA,NA,NA,NA,0.00841818780180044,0.0476502253012225,0.0483881168999544,18
"(2s,3as,5s,6r,7ar)-2-[(8z)-pentadec-8-en-1-yl]-hexahydro-1-benzofuran-3a,5,6,7a-tetrol",399.30829,8.733,"","","Organoheterocyclic compounds","Benzofurans","",NA,NA,NA,NA,-0.0125119691036759,-0.0467153700291659,0.0483619185704334,19
"4-Bromo-6-Chloro-5,5-Dimethyl-1-Vinyl-Cyclohexene",246.98065,9.318,"","","Organohalogen compounds","Organochlorides","",NA,NA,NA,NA,-0.0126281399821698,-0.0466793265705674,0.0483573101866818,20
"P-Xyloquinone",137.05986,4.3,"","","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,-0.0103568749034313,-0.0472278562674779,0.0483501320100253,21
"PC(16:0/20:1(11Z))",788.61169,9.178,"HMDB0007978","","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines",NA,NA,NA,NA,-0.00910428933559438,0.0474835627641295,0.0483484934313495,22
"(2Z)-5-[(1R,5R,6S)-2,6-Dimethylbicyclo[3.1.1]hept-2-en-6-yl]-2-methyl-2-pentenoic acid, anhydride with acetic acid",275.16904,6.226,"","","Unknown","","",NA,NA,NA,NA,0.0048906944716954,0.0480808106717027,0.0483289069529158,23
"cis-tetradec-11-enoic acid",227.2,6.86,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.0116483446663792,-0.0469038266261473,0.0483285928373923,24
"(E)-2-decenamide",170.15424,8.839,"","","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acid derivatives",NA,NA,NA,NA,-0.0138908825760498,-0.0462235407978857,0.0482656435017229,25
"Venturamide B",519.14691,5.103,"","","Phenylpropanoids and polyketides","Macrolactams","",NA,NA,NA,NA,-0.00966648551254021,-0.0472472063735541,0.0482259209582291,26
"17-methyl-phytosphingosine",332.31476,5.982,"","","Unknown","","",NA,NA,NA,NA,0.0150191205695299,0.0458165776785402,0.0482154827089368,27
"Pyrenocine K",239.09267,4.089,"","","Organoheterocyclic compounds","Pyrans","Pyranones and derivatives",NA,NA,NA,NA,0.0108125049885474,0.0469518133487224,0.0481807330876215,28
"16-hydroxy-9E-hexadecenoic acid",269.21255,7.33,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.014254089925813,0.046008438885465,0.0481659166661523,29
"t17:0 phytosphingosine",304.28479,5.988,"","","Organic nitrogen compounds","Organonitrogen compounds","Amines",NA,NA,NA,NA,0.0149801880649287,0.0456661513152238,0.0480604141722223,30
"Xanthosine",283.06812,1.08,"HMDB0000299","C01762","Nucleosides, nucleotides, and analogues","Purine nucleosides","",NA,NA,NA,NA,-0.0131165969664012,0.0462208943181309,0.0480459799311746,31
"Astrakurkurol",499.41476,8.829,"","","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids",NA,NA,NA,NA,-0.00553896179157034,-0.0477083693265604,0.0480288309406753,32
"Cytosporin S",353.2001,6.051,"","","Organoheterocyclic compounds","Oxanes","",NA,NA,NA,NA,0.00806956679004872,0.047228907910169,0.0479133347886189,33
"Penaresidin B",330.30032,6.131,"","","Organoheterocyclic compounds","Azetidines","",NA,NA,NA,NA,0.0177450803334995,0.0444255904215191,0.0478384882740134,34
"6,7-Dihydrotabersonine",361.18893,7.867,"","","Alkaloids and derivatives","Aspidospermatan-type alkaloids","",NA,NA,NA,NA,-0.0164733907000201,-0.0448333479569899,0.047764020875425,35
"Beta-Isorhodomycinone",401.09119,7.884,"","","Unknown","","",NA,NA,NA,NA,0.0133729101979191,0.0458526272577569,0.0477629370286251,36
