"node","module","degree","betweenness","is_hub"
"2-Methyl-3-oxopropanoic acid","1",289,947,FALSE
"3-HYDROXYBUTANOIC ACID","1",154,26,FALSE
"Catechol","2",67,7,FALSE
"3-methoxy-5h-furan-2-one","1",276,1191.5,FALSE
"Erythronolactone","3",250,854.5,FALSE
"P-Toluquinone","3",167,1057.5,FALSE
"TAURINE","3",228,1713.83333333333,FALSE
"Erythrose","1",282,652.333333333333,FALSE
"4-Hydroxybutanoic acid","1",145,403,FALSE
"(4R,5S)-5-hydroxyhexan-4-olide","1",282,619,FALSE
"N-Acetylalanine","4",153,1475,FALSE
"Aspartic Acid","5",259,2061.5,FALSE
"Glutarate","1",278,1318.5,FALSE
"urocanic acid","1",237,1545.5,FALSE
"(4r)-4-hydroxy-5,5-dimethyloxolan-2-one","1",207,1659.5,FALSE
"Ethyl hydrogen fumarate","1",282,758,FALSE
"Carboxycyclohexane","3",222,1601,FALSE
"(R)-2,3-Dihydroxy-3-Methylbutanoate","5",40,0,FALSE
"Salicylic acid","5",203,643.5,FALSE
"2-ethenylthiophene","4",110,65,FALSE
"L-Pyroglutamic acid","2",137,3393,FALSE
"Methyl sulfate","1",172,1847.5,FALSE
"ADIPIC ACID","2",92,14,FALSE
"6-Methyl-6-hepten-2-one","3",204,1432,FALSE
"4-Hydroxyquinoline","1",256,1014,FALSE
"2-(furan-2-yl)-3-methylbut-2-enal","5",235,513.5,FALSE
"Pleurone","2",153,1886,FALSE
"Rhodinose","4",4,188,FALSE
"4-phenylbutan-2-ol","5",139,222,FALSE
"cis-Acetylacrylic acid","4",21,48,FALSE
"2-hydroxy enanthoic acid","4",114,769,FALSE
"Calystegine A7","4",119,1086,FALSE
"5-hydroxy-4-methoxy-5h-furan-2-one","4",85,587,FALSE
"4-hydroxy-2-methylbenzoic acid","5",182,765,FALSE
"2,3-dihydroxybenzamide","3",252,1039,FALSE
"XANTHINE","1",233,2011,FALSE
"2R-hydroxy-octanoic acid","4",104,103,FALSE
"D-TAGATOSE","1",270,1544.5,FALSE
"2-amino-4-(c-hydroxycarbonimidoyl)pent-4-enoic acid","5",273,1816.33333333333,FALSE
"3-Hydroxy-3-methylglutarate","3",219,678.5,FALSE
"D-4-Hydroxyphenylglycine","3",248,831.5,FALSE
"Myrothenone A","3",245,1283.5,FALSE
"5-Pyridoxolactone","5",238,2075.83333333333,FALSE
"Allantoin","1",193,1535.5,FALSE
"3-(1-aminoethylidene)-6-methyl-2H-pyran-2,4(3H)-dione","5",240,889,FALSE
"Oxyquinoline","3",224,1283.5,FALSE
"trans-Cinnamic acid","4",169,843,FALSE
"6-CARBOXYHEXANOATE","4",37,298,FALSE
"FA 9:2+1O","4",164,777.5,FALSE
"Uracil","3",3,0,FALSE
"2-Hydroxycinnamic acid, predominantly trans","1",245,1148.5,FALSE
"vanillic acid","2",118,477,FALSE
"2-hydroxy pelargonic acid","4",49,520,FALSE
